"[0.8716114163398743, 0.2922629117965698, -0.3935427963733673]","[0.2212914377450943, -0.9509600400924683, -0.2161141335964203]","[-0.4374055564403534, 0.10127990692853928, -0.8935428857803345]"
"[0.8716114163398743, 0.2212914377450943, -0.4374055564403534]","[0.2922629117965698, -0.9509600400924683, 0.10127990692853928]","[-0.3935427963733673, -0.2161141335964203, -0.8935428857803345]"
"[0.9509599208831787, 0.10127990692853928, 0.2922629117965698]","[0.2161141335964203, -0.8935428857803345, -0.3935427963733673]","[0.2212914377450943, 0.4374055564403534, -0.871611475944519]"
"[0.9509599208831787, 0.2161141335964203, -0.2212914377450943]","[0.10127990692853928, -0.8935428857803345, -0.4374055564403534]","[-0.2922629117965698, 0.3935427963733673, -0.871611475944519]"
"[0.8580570816993713, 0.0, 0.5135543346405029]","[0.0, -1.0, 0.0]","[0.5135543346405029, 0.0, -0.8580571413040161]"
"[1.0, 0.0, 0.0]","[0.0, -0.8580571413040161, -0.5135543346405029]","[0.0, 0.5135543346405029, -0.8580571413040161]"
"[0.8580570816993713, 0.0, -0.5135543346405029]","[0.0, -1.0, -0.0]","[-0.5135543346405029, 0.0, -0.8580571413040161]"
"[0.9509599208831787, -0.2161141335964203, 0.2212914377450943]","[-0.10127990692853928, -0.8935428857803345, -0.4374055564403534]","[0.2922629117965698, 0.3935427963733673, -0.871611475944519]"
"[0.9509599208831787, -0.10127990692853928, -0.2922629117965698]","[-0.2161141335964203, -0.8935428857803345, -0.3935427963733673]","[-0.2212914377450943, 0.4374055564403534, -0.871611475944519]"
"[0.8716114163398743, -0.2922629117965698, 0.3935427963733673]","[-0.2212914377450943, -0.9509600400924683, -0.2161141335964203]","[0.4374055564403534, 0.10127990692853928, -0.8935428857803345]"
"[0.8716114163398743, -0.2212914377450943, 0.4374055564403534]","[-0.2922629117965698, -0.9509600400924683, 0.10127990692853928]","[0.3935427963733673, -0.2161141335964203, -0.8935428857803345]"
"[0.8716114163398743, -0.2212914377450943, -0.4374055564403534]","[-0.2922629117965698, -0.9509600400924683, -0.10127990692853928]","[-0.3935427963733673, 0.2161141335964203, -0.8935428857803345]"
"[0.8716114163398743, -0.2922629117965698, -0.3935427963733673]","[-0.2212914377450943, -0.9509600400924683, 0.2161141335964203]","[-0.4374055564403534, -0.10127990692853928, -0.8935428857803345]"
"[0.8935428261756897, -0.4374055564403534, 0.10127990692853928]","[-0.3935427963733673, -0.871611475944519, -0.2922629117965698]","[0.2161141335964203, 0.2212914377450943, -0.9509600400924683]"
"[0.8935428261756897, -0.3935427963733673, -0.2161141335964203]","[-0.4374055564403534, -0.871611475944519, -0.2212914377450943]","[-0.10127990692853928, 0.2922629117965698, -0.9509600400924683]"
"[0.8580570816993713, -0.5135543346405029, 0.0]","[-0.5135543346405029, -0.8580571413040161, -0.0]","[0.0, 0.0, -1.0]"
"[0.80901700258255, 0.5, 0.30901700258255005]","[0.5, -0.861803412437439, 0.08541019260883331]","[0.30901700258255005, 0.08541019260883331, -0.9472136497497559]"
"[0.80901700258255, 0.5, -0.30901700258255005]","[0.5, -0.861803412437439, -0.08541019260883331]","[-0.30901700258255005, -0.08541019260883331, -0.9472136497497559]"
"[0.9472135901451111, 0.30901700258255005, 0.08541019260883331]","[0.30901700258255005, -0.8090170621871948, -0.5]","[-0.08541019260883331, 0.5, -0.861803412437439]"
"[0.861803412437439, -0.08541019260883331, 0.5]","[0.08541019260883331, -0.9472136497497559, -0.30901700258255005]","[0.5, 0.30901700258255005, -0.8090170621871948]"
"[0.861803412437439, 0.08541019260883331, 0.5]","[-0.08541019260883331, -0.9472136497497559, 0.30901700258255005]","[0.5, -0.30901700258255005, -0.8090170621871948]"
"[0.861803412437439, 0.08541019260883331, -0.5]","[-0.08541019260883331, -0.9472136497497559, -0.30901700258255005]","[-0.5, 0.30901700258255005, -0.8090170621871948]"
"[0.861803412437439, -0.08541019260883331, -0.5]","[0.08541019260883331, -0.9472136497497559, 0.30901700258255005]","[-0.5, -0.30901700258255005, -0.8090170621871948]"
"[0.9472135901451111, -0.30901700258255005, -0.08541019260883331]","[-0.30901700258255005, -0.8090170621871948, -0.5]","[0.08541019260883331, 0.5, -0.861803412437439]"
"[0.80901700258255, -0.5, 0.30901700258255005]","[-0.5, -0.861803412437439, -0.08541019260883331]","[0.30901700258255005, -0.08541019260883331, -0.9472136497497559]"
"[0.80901700258255, -0.5, -0.30901700258255005]","[-0.5, -0.861803412437439, 0.08541019260883331]","[-0.30901700258255005, 0.08541019260883331, -0.9472136497497559]"
"[0.75, 0.6545084714889526, 0.09549149870872498]","[0.6545084714889526, -0.7135254144668579, -0.25]","[-0.09549149870872498, 0.25, -0.9635254144668579]"
"[0.80901700258255, 0.30901697278022766, 0.4999999701976776]","[0.4999999701976776, -0.8090169429779053, -0.30901697278022766]","[0.30901697278022766, 0.4999999701976776, -0.8090169429779053]"
"[0.80901700258255, 0.4999999701976776, -0.30901697278022766]","[0.30901697278022766, -0.8090169429779053, -0.4999999701976776]","[-0.4999999701976776, 0.30901697278022766, -0.8090169429779053]"
"[0.7135255336761475, 0.25, 0.6545084714889526]","[0.25, -0.9635254144668579, 0.09549149870872498]","[0.6545084714889526, 0.09549149870872498, -0.7499998807907104]"
"[0.7135255336761475, 0.25, -0.6545084714889526]","[0.25, -0.9635254144668579, -0.09549149870872498]","[-0.6545084714889526, -0.09549149870872498, -0.7499998807907104]"
"[0.9635254740715027, -0.09549149870872498, 0.25]","[0.09549149870872498, -0.7499998807907104, -0.6545084714889526]","[0.25, 0.6545084714889526, -0.7135254144668579]"
